Date,Transaction Description,Category,Amount,Type
2020-01-01,Water water mall mall phone investment.,Health & Fitness,620.39,Expense
2020-01-01,Loan insurance.,Rent,1384.51,Expense
2020-01-01,Health entertainment grocery fuel service package.,Utilities,1546.58,Expense
2020-01-01,Fee charge.,Entertainment,567.55,Expense
2020-01-02,Score each.,Food & Drink,1485.69,Expense
2020-01-02,Quality throughout.,Utilities,1475.58,Expense
2020-01-02,Account delivery gross utility.,Investment,1669.91,Income
2020-01-02,Mortgage annual credit.,Investment,3492.06,Income
2020-01-02,Plan processed hospital.,Entertainment,845.36,Expense
2020-01-02,Management automatic.,Salary,1725.76,Income
2020-01-02,System annual.,Travel,1543.19,Expense
2020-01-03,Utility fuel charge insurance shop internet taxi.,Investment,1292.49,Income
2020-01-03,Purchase train debit.,Health & Fitness,765.39,Expense
2020-01-03,Weekly tax.,Entertainment,550.28,Expense
2020-01-04,Platform fuel project order.,Food & Drink,1272.03,Expense
2020-01-04,Mortgage discount personal fee balance booking insurance.,Salary,957.22,Income
2020-01-04,Instead ahead despite measure ago.,Rent,1185.08,Expense
2020-01-04,Taxi online support.,Utilities,502.64,Expense
2020-01-04,Package loan software tools system pharmacy.,Salary,910.79,Income
2020-01-04,Budget travel hardware premium.,Entertainment,1617.27,Expense
2020-01-05,Transfer bill business loan household.,Utilities,1452.1,Expense
2020-01-05,Order contract.,Health & Fitness,61.94,Expense
2020-01-05,Special online plan material household.,Entertainment,350.67,Expense
2020-01-05,Mall gym package package savings insurance household.,Utilities,1163.58,Expense
2020-01-05,Special market invoice tax.,Shopping,1484.05,Expense
2020-01-05,Information last everything thank serve.,Investment,2291.0,Income
2020-01-05,Equipment weekly flight.,Travel,1066.49,Expense
2020-01-05,Tools mall order system restaurant health delivery.,Food & Drink,1473.07,Expense
2020-01-06,Taxi vendor processed standard hardware.,Rent,1147.54,Expense
2020-01-06,Restaurant software system store.,Health & Fitness,1726.25,Expense
2020-01-06,Phone loan taxi adjustment system.,Food & Drink,1742.9,Expense
2020-01-06,Daily system network budget platform online parking.,Food & Drink,1264.36,Expense
2020-01-06,Flight water travel mall annual.,Food & Drink,394.74,Expense
2020-01-06,Household net deal.,Salary,855.22,Income
2020-01-06,Store hotel deal train bonus.,Utilities,1059.13,Expense
2020-01-06,Special savings travel.,Rent,1294.54,Expense
2020-01-06,Processed client.,Investment,3186.01,Income
2020-01-06,Transfer mall online grocery.,Utilities,929.9,Expense
2020-01-06,Taxi tax personal credit service economy grocery.,Food & Drink,1157.48,Expense
2020-01-07,Entertainment material digital economy network.,Shopping,997.11,Expense
2020-01-07,Mortgage direct contract order regular hotel.,Food & Drink,953.86,Expense
2020-01-07,Support adjustment savings phone economy mall.,Rent,230.33,Expense
2020-01-07,Pending premium.,Other,2378.41,Income
2020-01-07,Premium bill train maintenance salary fee household.,Utilities,1409.34,Expense
2020-01-07,Shop business.,Salary,1048.32,Income
2020-01-08,Annual maintenance internet daily investment interest travel.,Salary,1197.21,Income
2020-01-08,Plan taxi deal.,Salary,508.47,Income
2020-01-08,Direct mall special tools.,Utilities,1135.5,Expense
2020-01-08,Monthly phone express pending store parking.,Salary,823.49,Income
2020-01-09,System flight.,Food & Drink,875.51,Expense
2020-01-09,Net gym.,Utilities,777.74,Expense
2020-01-09,Pharmacy order delivery booking bus loan bonus.,Shopping,938.36,Expense
2020-01-09,Maintenance grocery standard parking.,Travel,362.12,Expense
2020-01-09,Discount transfer plan business household renewal shop.,Other,1829.83,Income
2020-01-10,Debit advance deposit entertainment tools pharmacy.,Travel,76.53,Expense
2020-01-10,Train hotel water package payment.,Travel,864.82,Expense
2020-01-10,Water processed weekly.,Shopping,238.82,Expense
2020-01-10,Order gym salary standard.,Salary,321.36,Income
2020-01-11,Travel store service.,Travel,1242.09,Expense
2020-01-11,Renewal renewal bonus insurance.,Rent,1319.85,Expense
2020-01-11,Mortgage regular renewal.,Food & Drink,1425.98,Expense
2020-01-12,System gross.,Investment,3504.91,Income
2020-01-12,Deal personal travel package daily freelance platform.,Salary,1819.79,Income
2020-01-12,Debit subscription household parking deposit credit.,Shopping,1763.43,Expense
2020-01-12,Support express business salary.,Health & Fitness,877.19,Expense
2020-01-12,Reward subscription online mall.,Rent,996.19,Expense
2020-01-12,Order gross train.,Health & Fitness,753.24,Expense
2020-01-13,Future choice whatever from.,Food & Drink,1126.88,Expense
2020-01-13,Annual tools.,Shopping,1857.97,Expense
2020-01-13,Network reward.,Health & Fitness,1085.9,Expense
2020-01-13,Economy support discount market.,Utilities,248.72,Expense
2020-01-13,Discount entertainment standard system delivery hospital weekly.,Rent,444.09,Expense
2020-01-14,Pharmacy insurance tools.,Travel,789.84,Expense
2020-01-14,Health service bill.,Salary,1440.9,Income
2020-01-14,Special annual payment loan app train.,Investment,2875.4,Income
2020-01-14,Annual order.,Shopping,527.87,Expense
2020-01-14,Freelance payment loan pending net payment.,Shopping,1114.55,Expense
2020-01-14,Loan priority flight.,Salary,1412.64,Income
2020-01-14,Service bonus maintenance annual water.,Food & Drink,711.34,Expense
2020-01-14,Benefit suggest page southern.,Shopping,448.68,Expense
2020-01-15,Salary software service utility plan personal.,Health & Fitness,1657.24,Expense
2020-01-15,Regular service package parking debit net utility.,Shopping,956.4,Expense
2020-01-15,App support interest restaurant debit.,Travel,1675.1,Expense
2020-01-15,Hardware fee.,Food & Drink,379.78,Expense
2020-01-16,Internet invoice.,Health & Fitness,1601.75,Expense
2020-01-16,Maintenance utility subscription.,Salary,892.2,Income
2020-01-16,Plan package renewal software service parking.,Travel,571.4,Expense
2020-01-16,Direct clinic.,Health & Fitness,440.93,Expense
2020-01-16,Daily loan order special net regular.,Entertainment,710.43,Expense
2020-01-17,Payment entertainment bonus salary vendor budget bonus.,Food & Drink,1503.06,Expense
2020-01-17,Electricity pending deposit train store.,Food & Drink,804.44,Expense
2020-01-18,Regular personal balance.,Food & Drink,483.85,Expense
2020-01-18,Monthly digital mall bonus.,Shopping,355.66,Expense
2020-01-18,By two bad fall pick.,Food & Drink,1520.03,Expense
2020-01-18,Fuel deal.,Entertainment,1608.3,Expense
2020-01-18,Order mortgage reward advance parking.,Rent,1570.29,Expense
2020-01-19,Court attorney product significant world.,Other,3287.0,Income
2020-01-19,Subscription restaurant platform freelance hotel.,Rent,1756.23,Expense
2020-01-20,Fuel utility entertainment clinic booking financial market.,Food & Drink,1979.7,Expense
2020-01-20,Renewal digital bus premium loan hardware purchase.,Health & Fitness,180.35,Expense
2020-01-20,Account vendor.,Travel,971.84,Expense
2020-01-20,Network purchase fuel water mortgage personal.,Entertainment,869.49,Expense
2020-01-20,Fee invoice tools.,Salary,842.47,Income
2020-01-20,Automatic savings.,Entertainment,418.73,Expense
2020-01-20,Mortgage debit health taxi tax financial.,Other,3389.66,Income
2020-01-20,Maintenance client tax bus processed travel economy.,Other,3620.46,Income
2020-01-21,Online network store.,Utilities,1935.23,Expense
2020-01-21,Deposit system standard project reward premium net.,Utilities,1738.29,Expense
2020-01-21,Herself law.,Entertainment,1914.85,Expense
2020-01-22,Entertainment package insurance.,Shopping,677.08,Expense
2020-01-22,Credit financial.,Rent,630.01,Expense
2020-01-22,Automatic fee health reward maintenance shop freelance.,Entertainment,257.25,Expense
2020-01-22,Regular travel grocery.,Travel,1015.06,Expense
2020-01-22,Investment credit electricity store material.,Other,4872.29,Income
2020-01-22,Special insurance.,Shopping,555.27,Expense
2020-01-23,Daily internet material service reward fee financial.,Rent,1765.3,Expense
2020-01-23,Vendor mall.,Food & Drink,1339.21,Expense
2020-01-24,Client express mall material entertainment.,Shopping,816.53,Expense
2020-01-24,Shop electricity hardware vendor.,Other,2675.31,Income
2020-01-24,Hospital vendor vendor package savings.,Entertainment,1154.0,Expense
2020-01-24,Fee automatic plan business premium bonus mortgage.,Rent,727.67,Expense
2020-01-24,Priority support.,Rent,693.99,Expense
2020-01-24,Software network loan automatic platform booking bus.,Food & Drink,525.57,Expense
